"Start","End","app-token-created","browser-chrome","browser-chrome-0","browser-chrome-11","browser-chrome-12","browser-chrome-13","browser-chrome-14","browser-chrome-15","browser-chrome-16","browser-chrome-17","browser-chrome-18","browser-chrome-19","browser-chrome-2","browser-chrome-20","browser-chrome-21","browser-chrome-22","browser-chrome-23","browser-chrome-24","browser-chrome-25","browser-chrome-26","browser-chrome-27","browser-chrome-28","browser-chrome-29","browser-chrome-3","browser-chrome-30","browser-chrome-31","browser-chrome-32","browser-chrome-33","browser-chrome-34","browser-chrome-35","browser-chrome-36","browser-chrome-37","browser-chrome-38","browser-chrome-39","browser-chrome-40","browser-chrome-41","browser-chrome-42","browser-chrome-43","browser-chrome-44","browser-chrome-45","browser-chrome-46","browser-chrome-47","browser-chrome-48","browser-chrome-49","browser-chrome-5","browser-chrome-50","browser-chrome-51","browser-chrome-52","browser-chrome-53","browser-chrome-54","browser-chrome-6","browser-chrome-8","browser-chrome-9","browser-firefox","browser-firefox-0","browser-firefox-1","browser-firefox-10","browser-firefox-11","browser-firefox-12","browser-firefox-13","browser-firefox-14","browser-firefox-15","browser-firefox-16","browser-firefox-17","browser-firefox-18","browser-firefox-19","browser-firefox-2","browser-firefox-20","browser-firefox-21","browser-firefox-22","browser-firefox-23","browser-firefox-24","browser-firefox-25","browser-firefox-26","browser-firefox-27","browser-firefox-28","browser-firefox-29","browser-firefox-30","browser-firefox-31","browser-firefox-32","browser-firefox-33","browser-firefox-34","browser-firefox-35","browser-firefox-36","browser-firefox-37","browser-firefox-38","browser-firefox-39","browser-firefox-40","browser-firefox-41","browser-firefox-42","browser-firefox-43","browser-firefox-44","browser-firefox-45","browser-firefox-46","browser-firefox-47","browser-firefox-48","browser-firefox-49","browser-firefox-5","browser-firefox-50","browser-firefox-51","browser-firefox-6","browser-firefox-7","browser-firefox-8","browser-firefox-9","browser-ie","browser-ie-10","browser-ie-11","browser-ie-6","browser-ie-7","browser-ie-8","browser-ie-9","browser-other","browser-other-1","browser-other-11","browser-other-12","browser-other-2","browser-other-8","browser-other-9","browser-safari","browser-safari-1","browser-safari-10","browser-safari-3","browser-safari-4","browser-safari-5","browser-safari-522","browser-safari-525","browser-safari-528","browser-safari-530","browser-safari-531","browser-safari-532","browser-safari-533","browser-safari-534","browser-safari-535","browser-safari-536","browser-safari-537","browser-safari-538","browser-safari-6","browser-safari-600","browser-safari-601","browser-safari-602","browser-safari-7","browser-safari-8","browser-safari-9","bytes-in","bytes-out","charts-created","charts-deleted","comments","datalens-loaded","datasets","datasets-created","datasets-created-blobby","datasets-created-href","datasets-created-nbe","datasets-created-snapshot","datasets-deleted","datasets-deleted-blobby","datasets-deleted-href","datasets-deleted-nbe","datasets-deleted-snapshot","datasets-published","datasets-published-v2","datasets-snapshots","datasets-snapshots-v2","datasets-unpublished","datasets-unpublished-v2","datasets-v2","di-count","di-deleted","di-failed","di-failed-internal","di-failed-non-user","di-failed-user","di-geocode-cached","di-geocode-count","di-geocode-esri-success","di-geocode-mapquest-insufficiently-precise-result","di-geocode-mapquest-success","di-inserted","di-phidippides-failed","di-phidippides-succeeded","di-port-failed","di-port-failed-internal","di-port-failed-non-user","di-port-failed-uncleanly","di-port-failed-user","di-port-success","di-retried","di-retried-more-than-once","di-success","di-sync-failed","di-sync-failed-internal","di-sync-success","di-updated","disk-usage","filters-created","filters-deleted","ga:avgPageLoadTime","ga:avgSessionDuration","ga:avgTimeOnPage","ga:bounceRate","ga:newUsers","ga:pageviews","ga:pageviewsPerSession","ga:sessions","ga:uniquePageviews","ga:users","geocoding-requests","govstat-goal-gets","js-page-view","js-page-view-admin","js-page-view-browse","js-page-view-browse-search","js-page-view-dataset","js-page-view-dataset-complex","js-page-view-dataset-filter","js-page-view-dataset-grouped","js-page-view-dataset-sort","js-page-view-embed-browse","js-page-view-embed-browse-search","js-page-view-embed-dataset","js-page-view-embed-dataset-complex","js-page-view-embed-dataset-filter","js-page-view-embed-dataset-grouped","js-page-view-embed-dataset-sort","js-page-view-embed-homepage","js-page-view-embed-other","js-page-view-embed-profile","js-page-view-homepage","js-page-view-newux","js-page-view-other","js-page-view-profile","js-page-view-story","lense-blob-published-v1","lense-blob-unpublished-v1","lense-chart-published-v1","lense-chart-unpublished-v1","lense-data_lens-published-v1","lense-data_lens-unpublished-v1","lense-fatrow-published-v1","lense-fatrow-unpublished-v1","lense-href-published-v1","lense-href-unpublished-v1","lense-map-published-v1","lense-map-unpublished-v1","lense-metadata-published-v1","lense-metadata-unpublished-v1","lense-new_view-published-v1","lense-new_view-unpublished-v1","lense-newview-published-v1","lense-newview-unpublished-v1","lense-story-published-v1","lense-story-unpublished-v1","lense-table-published-v1","lense-table-unpublished-v1","maps-created","maps-deleted","page-views","published-story-loaded","ratings-count","ratings-total","rows-accessed-api","rows-accessed-download","rows-accessed-print","rows-accessed-rss","rows-accessed-website","rows-accessed-widget","rows-created","rows-deleted","rows-loaded-api","rows-loaded-download","rows-loaded-print","rows-loaded-rss","rows-loaded-website","rows-loaded-widget","sf-query-cache-hit","sf-query-cache-miss","sf-query-error-internal","sf-query-error-user","sf-query-success","shares","users-created","view-loaded"
"Tue Nov 01 00:00:00 UTC 2011","Wed Nov 30 23:59:59 UTC 2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","770","698864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","","","","","","","","","","-1525775","","","","","","","","","","","","","","1",""
"Thu Dec 01 00:00:00 UTC 2011","Sat Dec 31 23:59:59 UTC 2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25137388","2335746082","8","","1","","","49","1","7","","","13","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","5","5","","","","","","","","","","","24046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","5039","","","","65","25","1","315","6814","38","3873219","857892","10948","294554","59","11403","2263189","1458","","","","","","2","7","959"
"Sun Jan 01 00:00:00 UTC 2012","Tue Jan 31 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53074061","4130656886","","","","","","7","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2055118848","9","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","2","8770","","","","66","191","23","1617","11505","114","4696080","554990","69017","3330852","55864","75580","3892603","4985","","","","","","","13","1047"
"Wed Feb 01 00:00:00 UTC 2012","Wed Feb 29 23:59:59 UTC 2012","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85494070","10047223305","3","2","2","","","34","","","","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3838328832","36","33","","","","","","","","","","","1041","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","12","18129","","","","279","284","26","411","18284","119","9716895","1425505","27625","5052271","100911","15788","311294","3765","","","","","","","14","1948"
"Thu Mar 01 00:00:00 UTC 2012","Sat Mar 31 23:59:59 UTC 2012","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117705512","7382810202","3","2","","","","19","","","","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5082980352","6","1","","","","","","","","","","","3583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","9882","","","","177","380","42","929","19704","251","1065550","23268","269640","8571550","81238","36891","277539","4949","","","","","","","15","1966"
"Sun Apr 01 00:00:00 UTC 2012","Mon Apr 30 23:59:59 UTC 2012","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74229087","10428821669","10","10","2","","","48","","","","","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5108006912","18","16","","","","","","","","","","","13288","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","16","6604","","","","3964","482","52","443","16123","652","10293318","1730162","5181162","10862736","880700","17254","401186","8378","","","","","","2","16","5559"
"Tue May 01 00:00:00 UTC 2012","Thu May 31 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96316173","13035347424","26","26","","","","119","","","","","113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5172428800","42","35","","","","","","","","","","","7870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28","24","6005","","","","206","647","59","313","16268","1649","34546309","16906934","2409671","23239296","204040","12862","268047","22087","","","","","","2","8","1889"
"Fri Jun 01 00:00:00 UTC 2012","Sat Jun 30 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99712692","22665184956","41","41","","","","202","3","","","","200","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5241154529","69","65","","","","","","","","","","","8380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","92","6190","","","","542","587","126","413","25119","1378","65391475","31542429","532837","11366194","781948","18200","375391","22580","","","","","","","4","2073"
"Sun Jul 01 00:00:00 UTC 2012","Tue Jul 31 23:59:59 UTC 2012","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198372035","39557492203","66","66","3","","","328","","","","","308","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5244251105","123","116","","","","","","","","","","","9134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","155","153","6183","","","","939","631","130","438","48106","2569","101871922","48764329","4263492","17479940","1080349","19506","452723","30894","","","","","","4","6","2429"
"Wed Aug 01 00:00:00 UTC 2012","Fri Aug 31 23:59:59 UTC 2012","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217350962","45122140814","65","65","","","","381","1","50","","","316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5739519821","106","105","","","","","","","","","","","12102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137","135","25871","","","","1881","854","77","262","48450","3620","103718842","50960505","1496768","39063369","671112","11255","568439","46824","","","","","","4","15","3018"
"Sat Sep 01 00:00:00 UTC 2012","Sun Sep 30 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","257658688","42833359276","69","65","","","","411","","2","","","361","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6062702413","187","173","","","","","","","","","","","165679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167","165","34018","","","","1473","1121","77","304","41882","2155","103175879","52085760","1455302","28208290","566229","12732","521506","36996","","","","","","4","11","3511"
"Mon Oct 01 00:00:00 UTC 2012","Wed Oct 31 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182893110","49108580269","66","66","2","","","364","","","","","358","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5943639885","185","182","","","","","","","","","","","14104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149","146","9776","","","","1096","1121","77","359","43837","5412","110931671","56194885","1024627","42767240","185139","16077","600144","57318","","","","","","5","9","3271"
"Thu Nov 01 00:00:00 UTC 2012","Fri Nov 30 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118732557","50227581913","72","71","6","","","342","","","","","337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5956435789","169","166","","","","","","","","","","","8417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","268","266","23983","","","","3032","1159","119","910","47388","3321","116148930","58634387","1145432","17863205","330802","39669","616567","80146","","","","","","","12","6497"
"Sat Dec 01 00:00:00 UTC 2012","Mon Dec 31 23:59:59 UTC 2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104851056","104491909225","69","69","1","","","389","2","","","","378","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6156017485","241","239","","","","","","","","","","","9057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308","305","13588","","1","80","1456","1190","158","668","30972","2090","107985594","53981871","1937903","21546853","450330","28113","440347","44216","","","","","","","8","3636"
"Tue Jan 01 00:00:00 UTC 2013","Thu Jan 31 23:59:59 UTC 2013","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146653941","75314337923","71","71","","","","392","","","","","388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6030761805","227","227","","","","","","","","","","","12093","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","384","384","13292","","","","453","1232","218","750","48228","5928","99093602","45383652","2677365","30200293","591357","31731","628655","83417","","","","","","2","10","3756"
"Fri Feb 01 00:00:00 UTC 2013","Thu Feb 28 23:59:59 UTC 2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121958410","67582549553","57","57","","","","337","1","","","","317","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6892576589","213","207","","","","","","","","","","","13390","","9895","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281","280","15974","","","","336","975","159","737","40173","3671","79168561","42546185","774136","28918623","436358","31986","524314","74889","","","","","","","11","4325"
"Fri Mar 01 00:00:00 UTC 2013","Sun Mar 31 23:59:59 UTC 2013","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163513426","69056801057","72","72","","","","342","","","","","334","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6974725965","251","244","","","","","","","","","","","8406","","21457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","316","313","17988","","","","556","569","195","531","45822","12506","93851242","45102875","950735","26574447","496521","22810","596080","119379","","","","","","10","20","5534"
"Mon Apr 01 00:00:00 UTC 2013","Tue Apr 30 23:59:59 UTC 2013","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145622923","56209373498","68","68","","","","432","8","","","","413","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7750131533","428","422","","","","","","","","","","","12404","","36312","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318","314","18446","","","","117","577","155","397","43655","5217","95929097","47873590","626966","26127333","405223","17043","604225","104287","","","","","","11","19","5567"
"Wed May 01 00:00:00 UTC 2013","Fri May 31 23:59:59 UTC 2013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182917330","53080202707","79","77","","","","365","3","2","","","347","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7822385120","298","295","","","","","","","","","","","11949","","48850","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","335","326","19267","","","","547","538","139","249","56495","6781","100993356","49542866","683846","23817319","392777","10471","679778","133071","","","","","","17","18","6646"
