"Start","End","app-token-created","browser-chrome","browser-chrome-0","browser-chrome-11","browser-chrome-12","browser-chrome-18","browser-chrome-19","browser-chrome-20","browser-chrome-21","browser-chrome-22","browser-chrome-23","browser-chrome-24","browser-chrome-25","browser-chrome-26","browser-chrome-27","browser-chrome-28","browser-chrome-29","browser-chrome-3","browser-chrome-30","browser-chrome-31","browser-chrome-32","browser-chrome-33","browser-chrome-34","browser-chrome-35","browser-chrome-36","browser-chrome-37","browser-chrome-38","browser-chrome-39","browser-chrome-40","browser-chrome-41","browser-chrome-42","browser-chrome-43","browser-chrome-44","browser-chrome-45","browser-chrome-46","browser-chrome-47","browser-chrome-48","browser-chrome-49","browser-chrome-50","browser-chrome-51","browser-chrome-52","browser-chrome-53","browser-chrome-54","browser-firefox","browser-firefox-0","browser-firefox-1","browser-firefox-10","browser-firefox-11","browser-firefox-12","browser-firefox-13","browser-firefox-15","browser-firefox-16","browser-firefox-17","browser-firefox-18","browser-firefox-19","browser-firefox-2","browser-firefox-20","browser-firefox-21","browser-firefox-22","browser-firefox-23","browser-firefox-24","browser-firefox-25","browser-firefox-26","browser-firefox-27","browser-firefox-28","browser-firefox-29","browser-firefox-30","browser-firefox-31","browser-firefox-32","browser-firefox-33","browser-firefox-34","browser-firefox-35","browser-firefox-36","browser-firefox-37","browser-firefox-38","browser-firefox-39","browser-firefox-40","browser-firefox-41","browser-firefox-42","browser-firefox-43","browser-firefox-44","browser-firefox-45","browser-firefox-46","browser-firefox-47","browser-firefox-48","browser-firefox-49","browser-firefox-5","browser-firefox-50","browser-firefox-51","browser-firefox-6","browser-firefox-7","browser-firefox-8","browser-firefox-9","browser-ie","browser-ie-10","browser-ie-11","browser-ie-6","browser-ie-7","browser-ie-8","browser-ie-9","browser-other","browser-other-1","browser-other-11","browser-other-12","browser-other-2","browser-other-8","browser-other-9","browser-safari","browser-safari-1","browser-safari-10","browser-safari-3","browser-safari-4","browser-safari-5","browser-safari-528","browser-safari-530","browser-safari-531","browser-safari-532","browser-safari-533","browser-safari-534","browser-safari-535","browser-safari-536","browser-safari-537","browser-safari-538","browser-safari-6","browser-safari-600","browser-safari-601","browser-safari-602","browser-safari-7","browser-safari-8","browser-safari-9","bytes-in","bytes-out","charts-created","charts-deleted","comments","datalens-loaded","datasets","datasets-created","datasets-created-blobby","datasets-created-href","datasets-created-nbe","datasets-created-snapshot","datasets-deleted","datasets-deleted-blobby","datasets-deleted-href","datasets-deleted-nbe","datasets-deleted-snapshot","datasets-published","datasets-published-v2","datasets-snapshots","datasets-snapshots-v2","datasets-unpublished","datasets-unpublished-v2","datasets-v2","di-count","di-deleted","di-failed","di-failed-internal","di-failed-non-user","di-failed-user","di-geocode-cached","di-geocode-count","di-geocode-mapquest-insufficiently-precise-result","di-geocode-mapquest-success","di-inserted","di-phidippides-failed","di-phidippides-succeeded","di-port-failed","di-port-failed-user","di-port-success","di-retried","di-retried-more-than-once","di-success","di-sync-failed","di-sync-failed-internal","di-sync-success","di-updated","disk-usage","filters-created","filters-deleted","ga:avgPageLoadTime","ga:avgSessionDuration","ga:avgTimeOnPage","ga:bounceRate","ga:newUsers","ga:pageviews","ga:pageviewsPerSession","ga:sessions","ga:uniquePageviews","ga:users","geocoding-requests","govstat-goal-gets","js-page-view","js-page-view-admin","js-page-view-browse","js-page-view-browse-search","js-page-view-dataset","js-page-view-dataset-complex","js-page-view-dataset-filter","js-page-view-dataset-grouped","js-page-view-dataset-sort","js-page-view-embed-browse","js-page-view-embed-browse-search","js-page-view-embed-dataset","js-page-view-embed-dataset-complex","js-page-view-embed-dataset-filter","js-page-view-embed-dataset-grouped","js-page-view-embed-dataset-sort","js-page-view-embed-other","js-page-view-embed-profile","js-page-view-homepage","js-page-view-newux","js-page-view-other","js-page-view-profile","js-page-view-story","lense-blob-published-v1","lense-blob-unpublished-v1","lense-chart-published-v1","lense-chart-unpublished-v1","lense-data_lens-published-v1","lense-data_lens-unpublished-v1","lense-fatrow-published-v1","lense-fatrow-unpublished-v1","lense-href-published-v1","lense-href-unpublished-v1","lense-map-published-v1","lense-map-unpublished-v1","lense-metadata-published-v1","lense-metadata-unpublished-v1","lense-new_view-published-v1","lense-new_view-unpublished-v1","lense-story-published-v1","lense-story-unpublished-v1","lense-table-published-v1","lense-table-unpublished-v1","maps-created","maps-deleted","page-views","published-story-loaded","rows-accessed-api","rows-accessed-download","rows-accessed-print","rows-accessed-rss","rows-accessed-website","rows-accessed-widget","rows-created","rows-deleted","rows-loaded-api","rows-loaded-download","rows-loaded-print","rows-loaded-rss","rows-loaded-website","rows-loaded-widget","sf-query-cache-hit","sf-query-cache-miss","sf-query-error-internal","sf-query-error-user","sf-query-success","shares","users-created","view-loaded"
"Fri Jan 01 00:00:00 UTC 2016","Sun Jan 31 23:59:59 UTC 2016","1","31142","","4","1","11","2","5","5","","","","5","10","43","179","","","163","82","11","91","849","20","26","41","697","40","43","136","272","160","162","299","1238","23526","2990","30","1","","","","","7592","2","3","4","3","4","","1","3","","","1","","1","4","1","2","8","9","3","1","7","24","8","83","9","15","16","101","13","36","387","49","76","84","278","5951","398","3","1","","","","","","","","1","1","1","7684","553","3551","","151","218","3211","299","112","","17","","","1","19357","","6","","9","95","","","","3","113","317","","47","5051","14","115","3512","7220","","164","498","2193","869621463","194437596096","3622","3611","5","104","863","2009","4","","62","1937","1979","1","","49","1926","787","785","540","540","74","74","861","4263","4429539","1034","","1","1033","2310","5834","318","337","7494178","14","2732","","","16","","","3202","12","11","2727","13178","37971059231","2876","2864","","","","","","","","","","","14833","","66107","120","6179","2644","12111","711","260","33","2662","161","78","27127","727","2094","34","4991","","","3915","33","1553","674","","124","0","233","0","1","0","1","1","74","2","488","0","0","0","0","0","","","719","63","460","457","312658","","13511","4844","146","107431","111669","87772","242210767","107893606","154405230","125662563","273774","4185205","1578645","1391584","457494","37","590","1610","275102","15","29","52693"
"Mon Feb 01 00:00:00 UTC 2016","Mon Feb 29 23:59:59 UTC 2016","","33166","","1","","12","","7","15","","1","","2","4","45","157","","","138","21","10","80","752","13","24","29","680","65","32","144","177","226","182","143","1301","3149","25466","267","23","","","","","8635","","","1","3","2","","","18","2","3","1","","15","11","28","1","3","2","2","","5","3","3","108","9","13","10","74","16","26","294","172","149","50","129","2258","5171","41","9","","","","3","","","","","","","9924","524","5187","","115","149","3949","407","131","","26","","","3","20135","","9","","2","78","","","","1","37","310","","50","5907","1","166","2668","7396","","92","492","2926","957906438","219543860427","3100","3095","","104","879","2010","2","2","22","1955","1977","1","1","12","1948","797","795","547","547","80","80","877","3258","4116015","241","1","5","235","3065298","3300816","235105","422","18906443","15","2431","5","5","16","5","3","2972","21","18","2407","9682","32245260831","2198","2190","0","126","32","15","44","276","4","63","121","66","20941","","72307","284","7752","3457","12082","578","414","54","2793","441","101","29784","563","1834","36","4960","20","","4604","32","1621","889","","124","0","246","0","1","0","1","1","75","2","423","0","0","0","0","0","","","724","67","482","477","157822","9","421691","4408","160","103028","131434","91272","263829013","116161517","209103641","109012905","421965","3996728","1918851","1498357","406167","143","419","956","294083","13","34","55802"
"Tue Mar 01 00:00:00 UTC 2016","Thu Mar 31 23:59:59 UTC 2016","1","40496","","11","","20","","","7","","1","1","","6","43","277","","","198","9","5","97","1029","18","20","52","990","89","18","197","195","308","365","107","1457","1319","14765","18798","80","14","","","","10506","4","4","4","1","6","1","","15","1","","2","1","","5","27","","9","12","5","1","3","11","2","77","13","17","36","32","12","15","500","57","76","18","117","233","5305","3844","15","17","","","","","","","1","","","11337","375","5459","","71","128","3306","580","124","","28","3","2","2","46894","6","16","2","6","59","","","","24","16","384","","88","19198","","160","10818","12306","","117","525","3166","1301208887","261854262572","4172","4182","","169","945","2897","4","40","34","2786","2804","","3","18","2775","826","823","557","557","117","117","942","4018","529570","303","17","2","284","2571","3243","262","410","2991683","1","3167","14","14","28","5","1","3637","31","31","3110","1754060","36008731911","2950","2921","6","93","34","25","67","269","3","83","110","84","32544","","109882","239","18960","3935","16603","1461","907","97","5255","317","138","43376","639","2207","62","6533","43","","4862","68","3050","1129","","125","0","236","0","1","0","1","1","76","1","443","0","0","0","0","0","13","36","763","70","529","519","946740","","23018","6385","137","98271","157536","131262","317792226","153408675","278682473","112354835","338330","3812479","2310624","2318119","405951","337","152","158","272026","134","39","71514"
"Fri Apr 01 00:00:00 UTC 2016","Sat Apr 30 23:59:59 UTC 2016","3","44291","","8","","9","","","1","1","","28","1","2","24","298","1","1","121","17","4","110","695","21","29","53","510","59","27","801","185","289","951","117","1484","1038","956","32420","3978","50","2","","","10397","","","11","5","8","1","8","1","","2","","1","","2","8","","2","4","","","11","3","11","85","60","7","18","44","6","7","434","23","91","34","129","151","226","8700","254","31","3","","","","","1","2","1","","10852","453","5260","","73","129","4937","26692","126","","29","","","","62050","","17","","10","70","1","","1","","21","306","","51","34311","","200","11927","11565","","80","457","3031","1487986064","309447623166","4250","4241","2","202","1011","2934","16","55","17","2841","2828","2","3","9","2805","927","924","594","594","82","82","1008","4018","356015","239","","1","238","8532","10186","418","1236","2446717","16","3097","100","100","12","1","","3649","18","17","3087","6630709","36565645511","3076","3048","21","37","15","26","53","190","2","67","86","68","101885","","154428","396","43054","7933","28759","2770","1373","88","7277","381","117","42438","666","2215","29","6110","40","","5392","146","4075","1169","","124","0","247","0","1","0","1","1","76","1","446","0","0","0","0","0","109","0","792","71","505","502","232870","","39008","10924","131","105718","169376","108021","311398483","155808202","232391645","279572942","299076","4107005","2562707","2242689","170553","45","759","30","123782","477","41","80616"
"Sun May 01 00:00:00 UTC 2016","Tue May 31 23:59:59 UTC 2016","4","50493","1","10","","25","","","10","","2","1","6","1","38","248","2","","160","12","22","90","623","19","30","42","631","54","42","2441","198","416","1534","132","1627","411","439","5673","35101","427","24","1","","16192","1","","5","1","5","","3","10","2","","","","","2","18","1","7","8","13","","4","5","15","73","11","23","16","87","9","7","308","26","37","29","53","137","139","1939","13122","40","14","","","","","","","","","10906","493","4314","1","155","119","5824","15907","119","","38","1","","","44040","","18","","5","109","","","","3","23","390","3","46","17292","2","170","3821","18087","","124","506","3434","2081091183","375528619950","5232","5032","7","162","1102","3273","2","113","53","3058","3137","1","73","43","3017","1009","1005","635","635","91","91","1098","5206","187351","495","","1","494","1093","1683","155","435","3768619","1","3278","146","146","39","1","","4469","57","56","3233","2488075","37564766407","4045","4012","7","67","34","19","66","288","2","98","131","96","132724","","141142","570","13020","3160","24664","3466","2055","158","7616","400","307","59224","579","1887","50","6047","2514","2","5460","50","3029","3330","3554","124","0","412","0","1","0","1","1","40","1","457","0","0","0","0","0","218","0","823","76","564","554","137053","","56478","13742","137","108208","218235","167418","348127507","171914516","239402811","333554348","277943","4217431","3246889","3766841","","","","","","1201","30","119925"
"Wed Jun 01 00:00:00 UTC 2016","Thu Jun 30 23:59:59 UTC 2016","1","104237","","4","","24","","","11","","","","4","11","45","440","","","325","28","3","216","912","29","32","71","1291","75","53","38763","240","385","3583","81","2412","424","495","2384","17742","33989","146","19","","15415","","3","8","4","34","1","1","11","9","1","1","","","","1","2","16","10","6","1","7","2","12","86","8","2","23","64","14","12","214","74","101","109","54","124","177","675","6337","7152","50","7","1","","","","","1","","15527","393","5073","","187","159","9715","12623","156","1","51","","","","58138","","42","","4","87","","1","2","5","26","628","1","102","18633","1","273","4712","27850","31","137","447","5156","3381704486","458379639247","4393","4385","1","113","1150","4006","","9","46","3897","3927","","","29","3888","1058","1054","644","644","90","90","1146","4478","212234","462","","","462","815","1343","163","365","3048090","2","3489","38","38","33","","","3901","39","39","3428","3953461","41791428807","3069","3050","","","","","","","","","","","119553","","213366","202","12185","3505","44377","3544","1918","137","22158","200","69","98050","629","1890","49","6323","1814","","4952","59","2899","1036","7367","124","0","426","0","1","0","1","1","49","1","465","0","0","0","0","0","242","0","852","75","514","506","254272","","44042","15360","218","105091","176975","367524","337091999","162101410","315844600","430922832","336335","4105410","2181064","6391068","","","","","","48","29","178052"
"Fri Jul 01 00:00:00 UTC 2016","Sun Jul 31 23:59:59 UTC 2016","1","76720","","3","","24","","","8","","1","3","","4","34","307","","","159","30","2","143","541","14","25","34","941","66","39","28348","219","230","2585","89","1890","223","188","1371","1477","36856","808","46","10","10027","","2","","4","9","","","21","1","","","","1","","3","1","15","12","5","6","3","3","11","63","7","8","15","33","13","12","136","31","40","49","24","93","29","295","423","8608","48","2","","1","","","","","","10904","294","4434","","102","75","5997","16703","91","","24","","","1","43875","","28","","6","48","","2","1","5","29","386","","74","16281","1","152","3180","19787","95","30","302","3467","2184208143","438147588537","3580","3531","6","253","1157","3291","1","","39","3216","3229","1","","26","3204","1068","1064","654","654","87","87","1153","4077","123436","526","","","526","552","1114","176","386","3436882","","3308","3","3","21","","","3515","2","2","3260","1245922","42296449223","3004","2986","","","","","","","","","","","114631","","162116","163","12461","2884","40782","3332","2197","87","15530","146","51","62910","518","1756","27","6106","1045","","3879","15","3459","886","3871","124","0","472","0","1","0","1","1","49","1","471","0","0","0","0","0","241","0","874","76","521","515","549392","","58850","12272","156","97036","170853","199836","293005001","143885039","325245926","250937473","345568","3953400","3","723","","","","","","11","26","127680"
"Mon Aug 01 00:00:00 UTC 2016","Wed Aug 31 23:59:59 UTC 2016","2","29604","","1","","9","","","1","","","2","","3","17","123","","","51","10","","34","159","12","14","24","384","35","11","1667","63","152","1001","102","1130","92","81","653","436","11220","11929","153","12","6614","","31","2","4","","","","2","","","1","","","","1","","17","10","","","4","2","7","37","2","2","5","20","6","","141","6","8","4","19","69","34","262","281","3490","2137","11","","4","1","","","","","6486","121","3236","","77","56","3014","29455","557","2","24","123","","","16048","","30","","2","36","","","","1","10","114","","28","3598","","40","1330","8731","69","33","131","1865","6499649347","556596421012","3480","3436","","180","964","2391","16","2","87","2283","2309","2","2","38","2258","868","864","671","671","94","94","960","7198","241868","356","1","2","353","1503","2363","248","612","4415437","148","4369","6","6","53","8","4","6737","6","4","4432","2305792","42940152389","2580","2531","","","","","","","","","","","254011","13","148290","42","14224","2254","13638","3314","2329","131","7683","203","94","27301","439","1324","36","3761","1027","","2699","","6402","812","2598","134","0","516","0","1","0","1","1","49","1","479","0","0","0","0","0","246","0","948","84","436","428","293006","","38641","9078","175","92565","450880","154052","255668432","124879651","513112739","264291921","411661","3817199","1","673","","","","","","90","29","202916"
"Thu Sep 01 00:00:00 UTC 2016","Fri Sep 30 23:59:59 UTC 2016","6","304","","","","","","","","","","","","","2","2","","","2","","","1","2","","","2","5","","","11","1","1","12","3","15","","","11","4","26","201","159","","71","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","1","","","4","11","5","51","19","","","","","","","","52","5","64","","","2","42","157","23","","","1","","","128","","2","","","","","","","","","6","","","43","","1","18","98","17","","4","17","1835201685","621323846454","4494","4456","","16","1286","2801","32","","151","2689","2704","13","","100","2640","913","909","718","718","96","96","1007","6026","221712","222","","","222","1424","2207","210","573","2643708","184","4303","18","18","100","3","","5651","5","5","4358","8510120","45097746021","2565","2544","","","","","","","","","","","62826","","81251","1","209","49","133","38","12","2","59","4","2","343","5","23","","52","17","","43","","42","11","12","134","0","554","0","1","0","1","1","49","1","504","0","","","0","0","257","0","1016","86","138","115","202975","","37579","16500","230","78736","198787","105545","135535022","129501572","462217525","306546361","585856","3315211","22","100","","","","","","38","35","103116"
"Sat Oct 01 00:00:00 UTC 2016","Mon Oct 31 23:59:59 UTC 2016","3","327","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","1","","15","4","8","","","9","6","24","18","409","107","96","","","","","","","","","","","","","","","","","","2","","","","","","1","","","","1","","","4","","","","","","","14","1","6","8","99","","3","","","","","","71","1","53","","1","2","40","4","6","","","","","","117","","30","","","","","","","","","6","","","2","","1","15","48","116","1","","23","1587823259","551830530884","4969","4934","","2","1332","2849","2","1","128","2820","2827","13","","95","2763","","","","","","","","6422","91192","219","","","219","26029","28803","312","2462","1915657","1","5137","8","8","95","4","2","6038","1","1","5010","679798","45849818840","2959","2901","","","","","","","","","","","157129","","63225","4","108","35","139","6","3","","48","","1","433","12","14","","65","12","","62","","24","15","22","","","","","","","","","","","","","","","","","","","","","169","163","228607","","45206","13580","311","74268","194953","103423","143086719","139919229","544659533","257842546","658109","3132848","0","150","","","","","","34","41","96359"
"Tue Nov 01 00:00:00 UTC 2016","Wed Nov 30 23:59:59 UTC 2016","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","2","","4","37","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","3","","3","","","","2","","","","","","","","3","","2","","","","","","","","","","","","","","","","3","4","","","","97736509","47908389533","302","299","","","1333","142","","","16","188","188","","","15","183","","","","","","","","379","5706","20","","","20","138","216","21","57","181509","","259","2","2","3","","","354","","","254","134902","","207","202","","","","","","","","","","","24367","","4111","","7","2","13","","1","","4","1","","24","4","1","","6","3","","3","","1","1","","","","","","","","","","","","","","","","","","","","","","21","20","17770","","1770","1136","8","4257","12962","6354","8877823","8743277","35565187","63387656","25447","179521","0","0","","","","","","5","2","6227"
