charts-created,charts-created-total,charts-deleted,charts-deleted-total,code,comments-created,comments-created-total,dataset_page_url,downloads,downloads-total,embeds,embeds-total,error,fetched_url,filters-created,filters-created-total,filters-deleted,filters-deleted-total,govstat-metrics-using,govstat-metrics-using-total,govstat-total-computes,govstat-total-computes-total,id,maps-created,maps-created-total,maps-deleted,maps-deleted-total,message,visits,visits-total
,,,,,,3,https://data.austintexas.gov/d/b4y9-5x39,2026,7465,3597,8993,,https://data.austintexas.gov/api/views/b4y9-5x39/metrics.json?start=1451606400000&end=1475539199999,8,22,6452,14921,,,,,b4y9-5x39,,1,414,708,,9758,31409
,14,372,1391,,,2,https://data.austintexas.gov/d/ecmv-9xxi,796,6125,914,2023,,https://data.austintexas.gov/api/views/ecmv-9xxi/metrics.json?start=1451606400000&end=1475539199999,8,50,782,3229,,,,,ecmv-9xxi,2,21,420,1749,,5916,23965
,,,,,1,1,https://data.austintexas.gov/d/h3i4-5e5v,1067,6318,1021,1802,,https://data.austintexas.gov/api/views/h3i4-5e5v/metrics.json?start=1451606400000&end=1475539199999,3,9,,21,,,,,h3i4-5e5v,,,,,,4405,15880
1,16,,119,,5,29,https://data.austintexas.gov/d/5tye-7ray,887,1782,139,348,,https://data.austintexas.gov/api/views/5tye-7ray/metrics.json?start=1451606400000&end=1475539199999,21,97,1,539,,,,,5tye-7ray,5,13,1,78,,2005,9817
,,,,,,,https://data.austintexas.gov/d/u3yy-shmz,611,1248,4501,11698,,https://data.austintexas.gov/api/views/u3yy-shmz/metrics.json?start=1451606400000&end=1475539199999,,8,9,44,,,,,u3yy-shmz,,,,,,5317,13809
,1,,,,,,https://data.austintexas.gov/d/959k-a8yh,228,361,9,112,,https://data.austintexas.gov/api/views/959k-a8yh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,959k-a8yh,,,,,,486,1585
,2,14,171,,,1,https://data.austintexas.gov/d/i26j-ai4z,1901,4512,38,100,,https://data.austintexas.gov/api/views/i26j-ai4z/metrics.json?start=1451606400000&end=1475539199999,10,37,133,2638,,,,,i26j-ai4z,21,43,182,2804,,1438,8017
,,,,,,1,https://data.austintexas.gov/d/8jyt-x94k,104,1704,10,316,,https://data.austintexas.gov/api/views/8jyt-x94k/metrics.json?start=1451606400000&end=1475539199999,,13,,42,,,,,8jyt-x94k,,,,,,418,7690
1,3,,,,,,https://data.austintexas.gov/d/8c6z-qnmj,260,840,9,52,,https://data.austintexas.gov/api/views/8c6z-qnmj/metrics.json?start=1451606400000&end=1475539199999,,13,,130,,,,,8c6z-qnmj,,,,,,968,5857
,4,1000,3802,,,,https://data.austintexas.gov/d/e8fp-i3ts,355,724,1591,4866,,https://data.austintexas.gov/api/views/e8fp-i3ts/metrics.json?start=1451606400000&end=1475539199999,1,3,540,1630,,,,,e8fp-i3ts,,,,,,2330,6830
,,,,,,,https://data.austintexas.gov/d/3ebq-e9iz,453,1388,55,119,,https://data.austintexas.gov/api/views/3ebq-e9iz/metrics.json?start=1451606400000&end=1475539199999,1,6,,3,,,,,3ebq-e9iz,,,,,,1582,5941
,,,,,,,https://data.austintexas.gov/d/x442-h34c,226,712,17,89,,https://data.austintexas.gov/api/views/x442-h34c/metrics.json?start=1451606400000&end=1475539199999,2,3,18,20,,,,,x442-h34c,,,,,,659,5280
,,,,,,,https://data.austintexas.gov/d/tv4x-8thz,146,202,1345,4541,,https://data.austintexas.gov/api/views/tv4x-8thz/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,tv4x-8thz,,,,,,1510,4952
,,,,,,,https://data.austintexas.gov/d/7neq-k7nf,135,175,1353,4521,,https://data.austintexas.gov/api/views/7neq-k7nf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7neq-k7nf,,,,,,1482,4776
,,,,,,1,https://data.austintexas.gov/d/hek3-kuva,165,294,29,3006,,https://data.austintexas.gov/api/views/hek3-kuva/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hek3-kuva,,,,,,237,3877
,,,,,,,https://data.austintexas.gov/d/wrwk-skv6,219,641,40,105,,https://data.austintexas.gov/api/views/wrwk-skv6/metrics.json?start=1451606400000&end=1475539199999,,6,,1,,,,,wrwk-skv6,,,,,,678,3981
,,,,,1,1,https://data.austintexas.gov/d/4hh5-fx4w,142,142,2913,2917,,https://data.austintexas.gov/api/views/4hh5-fx4w/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4hh5-fx4w,,,,,,3151,3155
,,,,,,,https://data.austintexas.gov/d/87qq-mkwq,181,183,1380,1501,,https://data.austintexas.gov/api/views/87qq-mkwq/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,87qq-mkwq,,,,,,1762,1911
1,2,452,2934,,,3,https://data.austintexas.gov/d/4c6h-tv2y,319,1939,,13,,https://data.austintexas.gov/api/views/4c6h-tv2y/metrics.json?start=1451606400000&end=1475539199999,,8,2712,8290,,,,,4c6h-tv2y,,3,1808,10752,,403,2636
,,,,,,1,https://data.austintexas.gov/d/kz4x-q9k5,349,1009,9,17,,https://data.austintexas.gov/api/views/kz4x-q9k5/metrics.json?start=1451606400000&end=1475539199999,,6,,6,,,,,kz4x-q9k5,17,41,2,32,,550,2652
,,,,,,,https://data.austintexas.gov/d/qwjz-np8k,139,176,1360,3163,,https://data.austintexas.gov/api/views/qwjz-np8k/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qwjz-np8k,,,,,,1448,3336
,,,,,,,https://data.austintexas.gov/d/kumu-nbtd,338,520,690,1739,,https://data.austintexas.gov/api/views/kumu-nbtd/metrics.json?start=1451606400000&end=1475539199999,,1,40,193,,,,,kumu-nbtd,,,,,,1697,3415
,,,,,,,https://data.austintexas.gov/d/bqav-9x6a,283,963,75,82,,https://data.austintexas.gov/api/views/bqav-9x6a/metrics.json?start=1451606400000&end=1475539199999,1,1,15,15,,,,,bqav-9x6a,,2,88,546,,553,2735
,1,,48,,,1,https://data.austintexas.gov/d/84ih-p28j,246,690,18,44,,https://data.austintexas.gov/api/views/84ih-p28j/metrics.json?start=1451606400000&end=1475539199999,,1,,1,,,,,84ih-p28j,,,,,,669,2773
,,,,,,,https://data.austintexas.gov/d/qe89-agqj,264,392,1473,2760,,https://data.austintexas.gov/api/views/qe89-agqj/metrics.json?start=1451606400000&end=1475539199999,,8,,14,,,,,qe89-agqj,,,,,,1817,3371
,,,,,,,https://data.austintexas.gov/d/5tx2-pk4n,175,329,4,26,,https://data.austintexas.gov/api/views/5tx2-pk4n/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,5tx2-pk4n,,,,,,549,2546
,,,,,,,https://data.austintexas.gov/d/ec78-i9z5,185,294,174,750,,https://data.austintexas.gov/api/views/ec78-i9z5/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ec78-i9z5,,,,,,346,1186
,,,,,,,https://data.austintexas.gov/d/pxe3-na7s,189,329,16,46,,https://data.austintexas.gov/api/views/pxe3-na7s/metrics.json?start=1451606400000&end=1475539199999,,2,8,31,,,,,pxe3-na7s,,,,,,598,2304
1,1,,,,,,https://data.austintexas.gov/d/g5k8-8sud,251,435,24,43,,https://data.austintexas.gov/api/views/g5k8-8sud/metrics.json?start=1451606400000&end=1475539199999,1,4,,3,,,,,g5k8-8sud,,,,,,880,2131
,,,,,1,2,https://data.austintexas.gov/d/hjeh-idye,258,692,74,134,,https://data.austintexas.gov/api/views/hjeh-idye/metrics.json?start=1451606400000&end=1475539199999,1,2,,,,,,,hjeh-idye,,,,,,1090,2028
,,,,,,,https://data.austintexas.gov/d/gr59-ids7,462,1564,10,61,,https://data.austintexas.gov/api/views/gr59-ids7/metrics.json?start=1451606400000&end=1475539199999,,6,1365,3447,,,,,gr59-ids7,,,,,,339,1755
,,,,,,,https://data.austintexas.gov/d/64cq-wf5u,175,410,4,158,,https://data.austintexas.gov/api/views/64cq-wf5u/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,64cq-wf5u,1,7,,,,190,1557
138,138,341,341,,,,https://data.austintexas.gov/d/dgbw-ce4x,107,108,94,94,,https://data.austintexas.gov/api/views/dgbw-ce4x/metrics.json?start=1451606400000&end=1475539199999,3,3,1,1,,,,,dgbw-ce4x,,,,,,350,351
,,,,,,,https://data.austintexas.gov/d/fb53-k8de,364,1148,57,96,,https://data.austintexas.gov/api/views/fb53-k8de/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,fb53-k8de,,1,,,,873,1657
,2,,8,,,,https://data.austintexas.gov/d/paa2-kvza,138,284,,815,,https://data.austintexas.gov/api/views/paa2-kvza/metrics.json?start=1451606400000&end=1475539199999,,8,,15,,,,,paa2-kvza,,,,,,210,1436
,,,,,,,https://data.austintexas.gov/d/ykw4-j3aj,267,423,4,20,,https://data.austintexas.gov/api/views/ykw4-j3aj/metrics.json?start=1451606400000&end=1475539199999,,1,1,2,,,,,ykw4-j3aj,,15,9,59,,444,1213
,1,,,,,,https://data.austintexas.gov/d/atrx-cf82,164,190,,0,,https://data.austintexas.gov/api/views/atrx-cf82/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,atrx-cf82,,,,,,89,1122
,,,,,,,https://data.austintexas.gov/d/fc48-h8gp,188,223,378,959,,https://data.austintexas.gov/api/views/fc48-h8gp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,fc48-h8gp,,,,,,501,1260
,,,,,,,https://data.austintexas.gov/d/yqxj-7evp,225,363,3,6,,https://data.austintexas.gov/api/views/yqxj-7evp/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,yqxj-7evp,,1,,,,277,855
,,,,,,,https://data.austintexas.gov/d/p6pb-jvsm,177,265,2,42,,https://data.austintexas.gov/api/views/p6pb-jvsm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,p6pb-jvsm,,,,,,345,1141
,5,,11,,,,https://data.austintexas.gov/d/32y8-3gbr,294,334,21,23,,https://data.austintexas.gov/api/views/32y8-3gbr/metrics.json?start=1451606400000&end=1475539199999,,2,,1,,,,,32y8-3gbr,2,5,,6,,1230,1541
1,2,4,32,,,,https://data.austintexas.gov/d/3syk-w9eu,387,394,24,25,,https://data.austintexas.gov/api/views/3syk-w9eu/metrics.json?start=1451606400000&end=1475539199999,36,46,34,151,,,,,3syk-w9eu,5,5,11,11,,1079,1258
,,,,,,,https://data.austintexas.gov/d/uxwx-55kj,408,444,26,35,,https://data.austintexas.gov/api/views/uxwx-55kj/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,uxwx-55kj,,,,,,899,1206
,,,,,,,https://data.austintexas.gov/d/rfif-mmvg,156,257,,3,,https://data.austintexas.gov/api/views/rfif-mmvg/metrics.json?start=1451606400000&end=1475539199999,,5,,15,,,,,rfif-mmvg,,,,,,192,905
1,1,2,2,,,,https://data.austintexas.gov/d/nttt-2a35,192,304,,1,,https://data.austintexas.gov/api/views/nttt-2a35/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,nttt-2a35,,,,,,383,1016
,,,,,,,https://data.austintexas.gov/d/vsbg-t3e9,221,266,,0,,https://data.austintexas.gov/api/views/vsbg-t3e9/metrics.json?start=1451606400000&end=1475539199999,2,4,,,,,,,vsbg-t3e9,,,,,,524,650
,,,,,,,https://data.austintexas.gov/d/3237-g9rs,150,216,2,14,,https://data.austintexas.gov/api/views/3237-g9rs/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3237-g9rs,,,,,,246,886
,,,,,,,https://data.austintexas.gov/d/7ti8-tuax,141,181,385,814,,https://data.austintexas.gov/api/views/7ti8-tuax/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7ti8-tuax,,,,,,518,1020
,,,,,,,https://data.austintexas.gov/d/6wtj-zbtb,313,371,30,31,,https://data.austintexas.gov/api/views/6wtj-zbtb/metrics.json?start=1451606400000&end=1475539199999,30,30,1134,1164,,,,,6wtj-zbtb,,,,,,1512,1901
,,,,,,,https://data.austintexas.gov/d/r6sg-xka2,334,1430,8,8,,https://data.austintexas.gov/api/views/r6sg-xka2/metrics.json?start=1451606400000&end=1475539199999,,2,454,1148,,,,,r6sg-xka2,,,454,2914,,382,930
,,,,,,,https://data.austintexas.gov/d/6v78-dj3u,193,300,,2,,https://data.austintexas.gov/api/views/6v78-dj3u/metrics.json?start=1451606400000&end=1475539199999,1,2,,1,,,,,6v78-dj3u,,44,,242,,201,405
27,30,536,536,,,,https://data.austintexas.gov/d/c7z7-zp6h,218,229,1,2,,https://data.austintexas.gov/api/views/c7z7-zp6h/metrics.json?start=1451606400000&end=1475539199999,18,19,269,269,,,,2,c7z7-zp6h,,,,,,380,455
,,,,,,,https://data.austintexas.gov/d/rka3-mjzi,189,287,4,5,,https://data.austintexas.gov/api/views/rka3-mjzi/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,rka3-mjzi,,1,,,,512,878
,,,,,,,https://data.austintexas.gov/d/5pnt-e38e,120,120,1,1,,https://data.austintexas.gov/api/views/5pnt-e38e/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,5pnt-e38e,,,,,,104,117
,,,,,,,https://data.austintexas.gov/d/jukz-za6j,105,105,,0,,https://data.austintexas.gov/api/views/jukz-za6j/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jukz-za6j,,,,,,51,51
,1,,,,,,https://data.austintexas.gov/d/xbbp-8bw7,156,199,,0,,https://data.austintexas.gov/api/views/xbbp-8bw7/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xbbp-8bw7,,,,,,111,646
1,1,1,1,,,,https://data.austintexas.gov/d/a6pm-qynf,153,217,1,7,,https://data.austintexas.gov/api/views/a6pm-qynf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,a6pm-qynf,,,,,,177,728
10,31,214,308,,,,https://data.austintexas.gov/d/kyp9-ynfw,183,238,,0,,https://data.austintexas.gov/api/views/kyp9-ynfw/metrics.json?start=1451606400000&end=1475539199999,5,12,,,,,,3,kyp9-ynfw,,,,,,345,577
19,32,6,18,,,,https://data.austintexas.gov/d/gjtj-jt2d,187,241,8,8,,https://data.austintexas.gov/api/views/gjtj-jt2d/metrics.json?start=1451606400000&end=1475539199999,1,1,,,11,11,2253,2357,gjtj-jt2d,,,,,,357,682
,,,,,,,https://data.austintexas.gov/d/3ghn-wv5a,186,257,4,17,,https://data.austintexas.gov/api/views/3ghn-wv5a/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3ghn-wv5a,,,,,,231,713
,,,,,,,https://data.austintexas.gov/d/xp28-5kft,155,168,334,453,,https://data.austintexas.gov/api/views/xp28-5kft/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xp28-5kft,,,,,,646,837
,,,,,,,https://data.austintexas.gov/d/askx-pbnh,177,267,2,7,,https://data.austintexas.gov/api/views/askx-pbnh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,askx-pbnh,,1,,,,259,691
,,,,,,,https://data.austintexas.gov/d/uqe6-trgb,168,669,,0,,https://data.austintexas.gov/api/views/uqe6-trgb/metrics.json?start=1451606400000&end=1475539199999,,6,48,60,,,,,uqe6-trgb,,,,,,188,610
,,,,,,,https://data.austintexas.gov/d/azsy-zee6,191,269,3,9,,https://data.austintexas.gov/api/views/azsy-zee6/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,azsy-zee6,,,,,,587,965
,,,,,,,https://data.austintexas.gov/d/jam6-aawd,189,255,10,15,,https://data.austintexas.gov/api/views/jam6-aawd/metrics.json?start=1451606400000&end=1475539199999,,2,,,,,,,jam6-aawd,,,,,,706,1065
,,,,,,,https://data.austintexas.gov/d/ergh-7g8p,230,335,,3,,https://data.austintexas.gov/api/views/ergh-7g8p/metrics.json?start=1451606400000&end=1475539199999,,2,,,,,,,ergh-7g8p,,,,,,245,637
,4,24,32,,,,https://data.austintexas.gov/d/jbxk-jjnn,174,227,,0,,https://data.austintexas.gov/api/views/jbxk-jjnn/metrics.json?start=1451606400000&end=1475539199999,2,6,34,48,,,,,jbxk-jjnn,,,,,,691,1005
,2,,,,,,https://data.austintexas.gov/d/hcnj-rei3,308,329,1,1,,https://data.austintexas.gov/api/views/hcnj-rei3/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,hcnj-rei3,,,,,,658,797
,2,11052,11736,,,,https://data.austintexas.gov/d/wter-evkm,478,525,10,10,,https://data.austintexas.gov/api/views/wter-evkm/metrics.json?start=1451606400000&end=1475539199999,1,6,4029,4062,,,,,wter-evkm,,,,,,2306,2444
,,,,,,,https://data.austintexas.gov/d/xf72-sbj4,176,190,344,467,,https://data.austintexas.gov/api/views/xf72-sbj4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xf72-sbj4,,,,,,638,794
1,2,6,6,,,,https://data.austintexas.gov/d/wr7f-jdtu,167,222,2,6,,https://data.austintexas.gov/api/views/wr7f-jdtu/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,wr7f-jdtu,,,,,,237,595
,1,,,,,,https://data.austintexas.gov/d/d7k5-jyb8,163,241,1,1,,https://data.austintexas.gov/api/views/d7k5-jyb8/metrics.json?start=1451606400000&end=1475539199999,,4,,4,,,,,d7k5-jyb8,,,,,,242,596
,,,,,,,https://data.austintexas.gov/d/gt3n-akq9,152,219,,3,,https://data.austintexas.gov/api/views/gt3n-akq9/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,gt3n-akq9,,,,,,271,631
,,,,,,,https://data.austintexas.gov/d/6s5y-evgf,201,248,12,22,,https://data.austintexas.gov/api/views/6s5y-evgf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,6s5y-evgf,,,,,,437,706
,,,,,,,https://data.austintexas.gov/d/zzix-yxi4,157,214,,2,,https://data.austintexas.gov/api/views/zzix-yxi4/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,zzix-yxi4,,,,,,315,597
,,,,,,,https://data.austintexas.gov/d/xj3h-ppw2,146,210,,5,,https://data.austintexas.gov/api/views/xj3h-ppw2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xj3h-ppw2,,,,,,122,517
,,,,,,,https://data.austintexas.gov/d/me4f-48mc,205,304,,0,,https://data.austintexas.gov/api/views/me4f-48mc/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,me4f-48mc,,5,,4,,381,683
,,,,,,,https://data.austintexas.gov/d/42ix-g4e3,159,224,1,1,,https://data.austintexas.gov/api/views/42ix-g4e3/metrics.json?start=1451606400000&end=1475539199999,,2,86,274,,,,,42ix-g4e3,,,,,,184,520
,,,,,,,https://data.austintexas.gov/d/qzi7-nx8g,151,222,8,17,,https://data.austintexas.gov/api/views/qzi7-nx8g/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,qzi7-nx8g,,2,,4,,193,505
,,,,,,,https://data.austintexas.gov/d/7j64-2qf8,192,241,,15,,https://data.austintexas.gov/api/views/7j64-2qf8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,7j64-2qf8,,,,,,134,496
,,,,,,,https://data.austintexas.gov/d/ei2n-fehk,289,996,,0,,https://data.austintexas.gov/api/views/ei2n-fehk/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,ei2n-fehk,,,,,,251,603
,,,,,,,https://data.austintexas.gov/d/4us7-37cx,143,193,,2,,https://data.austintexas.gov/api/views/4us7-37cx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4us7-37cx,,,,,,373,636
,4,22159,23105,,,,https://data.austintexas.gov/d/jpst-ix7f,472,477,7,8,,https://data.austintexas.gov/api/views/jpst-ix7f/metrics.json?start=1451606400000&end=1475539199999,1,4,5539,6199,,,,,jpst-ix7f,,,,,,1005,1086
,,,,,,,https://data.austintexas.gov/d/afwp-v695,243,289,,0,,https://data.austintexas.gov/api/views/afwp-v695/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,afwp-v695,,,,,,2870,3052
,,,,,,,https://data.austintexas.gov/d/4gv8-96x2,162,263,,1,,https://data.austintexas.gov/api/views/4gv8-96x2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,4gv8-96x2,,,,,,184,521
,,,,,,,https://data.austintexas.gov/d/cqdh-farx,556,595,9,9,,https://data.austintexas.gov/api/views/cqdh-farx/metrics.json?start=1451606400000&end=1475539199999,5,5,,,,,,,cqdh-farx,1,1,,,,678,809
,,,,,,,https://data.austintexas.gov/d/cr83-wy4q,195,212,2,2,,https://data.austintexas.gov/api/views/cr83-wy4q/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cr83-wy4q,,,,,,150,216
,,,,,,,https://data.austintexas.gov/d/92xm-uf99,217,324,,0,,https://data.austintexas.gov/api/views/92xm-uf99/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,92xm-uf99,,1,,4,,129,435
,,,,,,,https://data.austintexas.gov/d/md9p-6y8z,176,268,,0,,https://data.austintexas.gov/api/views/md9p-6y8z/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,md9p-6y8z,,,,,,620,905
,1,1,1,,,,https://data.austintexas.gov/d/kidc-knry,155,209,2,7,,https://data.austintexas.gov/api/views/kidc-knry/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,kidc-knry,,,,,,212,507
,,,,,,,https://data.austintexas.gov/d/sswp-u5uh,185,258,2,85,,https://data.austintexas.gov/api/views/sswp-u5uh/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,sswp-u5uh,,,,,,82,405
,,,,,,,https://data.austintexas.gov/d/dbc6-hkkk,180,181,1244,1248,,https://data.austintexas.gov/api/views/dbc6-hkkk/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,dbc6-hkkk,,,,,,1541,1545
,,,,,,,https://data.austintexas.gov/d/853s-zeff,246,259,7,7,,https://data.austintexas.gov/api/views/853s-zeff/metrics.json?start=1451606400000&end=1475539199999,1,3,,2,,,,,853s-zeff,,,,,,644,702
1,2,17,29,,,,https://data.austintexas.gov/d/3e38-4hji,166,237,,0,,https://data.austintexas.gov/api/views/3e38-4hji/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,3e38-4hji,,,,,,138,390
,,,,,,,https://data.austintexas.gov/d/u8uw-t2sm,174,263,,0,,https://data.austintexas.gov/api/views/u8uw-t2sm/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,u8uw-t2sm,,,,,,502,759
,,,,,,,https://data.austintexas.gov/d/askc-vuqf,178,178,281,359,,https://data.austintexas.gov/api/views/askc-vuqf/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,askc-vuqf,,,,,,370,470
,,,,,,,https://data.austintexas.gov/d/jmp6-p8e2,161,244,,1,,https://data.austintexas.gov/api/views/jmp6-p8e2/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,jmp6-p8e2,,1,,,,115,363
,1,,,,,,https://data.austintexas.gov/d/cusd-m48y,152,216,1,3,,https://data.austintexas.gov/api/views/cusd-m48y/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,cusd-m48y,,,,,,148,370
,,,,,,,https://data.austintexas.gov/d/bcku-z9d8,156,216,,0,,https://data.austintexas.gov/api/views/bcku-z9d8/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,bcku-z9d8,,,,,,175,391
,,,,,,,https://data.austintexas.gov/d/c69b-fkfx,165,252,,0,,https://data.austintexas.gov/api/views/c69b-fkfx/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,c69b-fkfx,,,,,,313,555
,2,80,277,,,,https://data.austintexas.gov/d/vxq2-zjmn,154,165,,0,,https://data.austintexas.gov/api/views/vxq2-zjmn/metrics.json?start=1451606400000&end=1475539199999,,8,,3,,,,,vxq2-zjmn,,,,,,135,317
1,1,,,,,,https://data.austintexas.gov/d/63p6-iegi,160,161,28,29,,https://data.austintexas.gov/api/views/63p6-iegi/metrics.json?start=1451606400000&end=1475539199999,1,1,,,,,,,63p6-iegi,,,,,,352,393
,,,,,,,https://data.austintexas.gov/d/es7e-878h,188,188,13,13,,https://data.austintexas.gov/api/views/es7e-878h/metrics.json?start=1451606400000&end=1475539199999,1,1,1,1,,,,,es7e-878h,,,,,,775,775
,,,,,,,https://data.austintexas.gov/d/c9gq-k8de,153,172,2,2,,https://data.austintexas.gov/api/views/c9gq-k8de/metrics.json?start=1451606400000&end=1475539199999,,1,,,,,,,c9gq-k8de,,,,,,707,821
,,,,,,,https://data.austintexas.gov/d/mbnu-4wq9,311,322,,0,,https://data.austintexas.gov/api/views/mbnu-4wq9/metrics.json?start=1451606400000&end=1475539199999,1,7,169,176,,,,,mbnu-4wq9,,,,,,399,490
4,13,,5,,,,https://data.austintexas.gov/d/bptg-ndvw,178,226,2,2,,https://data.austintexas.gov/api/views/bptg-ndvw/metrics.json?start=1451606400000&end=1475539199999,,,,,4,4,813,838,bptg-ndvw,,,,,,154,287
,,,,,,,https://data.austintexas.gov/d/xaxa-886r,175,194,4,4,,https://data.austintexas.gov/api/views/xaxa-886r/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,xaxa-886r,,3,182,220,,347,482
,,,,,,,https://data.austintexas.gov/d/y4h7-ti7f,139,139,1,1,,https://data.austintexas.gov/api/views/y4h7-ti7f/metrics.json?start=1451606400000&end=1475539199999,,,,,,,,,y4h7-ti7f,2,2,1,1,,496,496
